Error 	Reward 	Penalty	#OP 	OP_0	OP_1	OP_2	OP_3	OP_4	OP_5	OP_6	OP_7	OP_8	OP_9	OP_10	OP_11	OP_12	OP_13	OP_14	OP_15	OP_16	OP_17	OP_18	OP_19	OP_20	OP_21	OP_22	OP_23	OP_24	OP_25	OP_26	OP_27	OP_28	OP_29	OP_30	OP_31	OP_32	OP_33	
0.00216127 19 18  34 0 0 1 0 1 1 0 0 0 2 0 1 1 0 1 1 1 1 1 1 1 1 0 1 0 0 1 2 0 0 0 0 0 0  //quindi ad half vanno OP_2, OP_4, OP_5, OP_9, OP_11, OP_12, OP_14 a OP_21, OP_23, OP_26, OP_27
0.000509376 8 9  34 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 
0.0265658 44 8  34 2 1 1 2 1 1 2 1 2 0 0 2 0 0 2 2 1 1 2 2 2 1 0 2 0 2 2 2 0 2 1 2 2 1 
0.00569572 31 20  34 1 2 1 0 2 0 1 1 2 2 2 0 2 1 0 0 1 2 0 0 2 0 1 0 1 2 2 2 0 0 0 0 0 1 
0.0228279 42 15  34 1 1 2 2 0 0 2 2 2 1 2 0 0 1 2 1 0 2 2 2 2 1 2 0 2 0 2 1 2 2 0 1 1 1 
0.00114353 12 17  34 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 1 1 1 0 0 1 0 1 2 0 0 0 0 0 0 
0.0222962 41 14  34 2 1 0 2 2 2 1 1 0 2 1 2 1 1 0 1 0 2 1 1 2 0 2 2 2 1 2 1 0 0 2 0 2 2 
0.00226005 20 19  34 0 0 0 2 1 0 1 1 2 0 0 1 0 0 1 1 1 1 1 1 0 0 0 0 0 2 2 2 0 0 0 0 0 0 
0.00345067 25 22  34 0 0 1 2 0 1 0 1 2 0 1 1 2 0 1 0 1 1 1 1 0 0 1 0 2 2 2 2 0 0 0 0 0 0 
2.47537e-06 5 8  34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 
2.04887e-06 2 2  34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 
2.69498e-06 7 8  34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 
0.00104752 11 16  34 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 1 1 1 0 0 0 0 1 2 0 0 0 0 0 0 
0.00275093 23 20  34 0 0 0 2 1 0 1 1 2 0 1 1 0 1 1 1 1 1 1 1 0 0 0 0 1 2 2 2 0 0 0 0 0 0 
0.00190992 16 18  34 0 0 1 1 0 1 0 0 1 0 0 1 0 0 1 1 1 1 1 1 1 0 0 1 0 0 1 2 0 0 0 0 0 0 
0.00192478 17 16  34 0 0 1 1 0 1 0 0 1 0 0 1 0 0 1 1 1 1 1 1 1 1 0 1 0 0 1 2 0 0 0 0 0 0 
0.000639911 9 11  34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0 
0.00681577 32 14  34 1 0 0 2 2 1 1 1 1 2 1 2 1 1 1 1 1 2 1 1 0 0 1 1 2 1 2 1 0 0 0 0 1 0 
2.47537e-06 5 4  34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 
0.00126762 13 10  34 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 1 0 0 1 2 0 0 0 0 0 0 
0.00441492 27 22  34 0 2 1 2 0 1 0 1 2 0 1 1 2 0 1 0 1 1 1 1 0 0 1 0 2 2 2 2 0 0 0 0 0 0 
0.00208498 18 19  34 0 0 1 1 0 1 0 0 1 0 0 1 0 0 1 1 1 1 1 1 1 1 0 1 0 1 1 2 0 0 0 0 0 0 
0.00684446 38 16  34 2 1 0 2 2 2 1 1 0 2 1 2 1 1 0 0 0 2 1 1 2 0 2 2 2 1 2 1 0 0 0 0 2 2 
0.00701028 39 16  34 2 1 0 2 2 2 1 1 0 2 1 2 1 1 0 1 0 2 1 1 2 0 2 2 2 1 2 1 0 0 0 0 2 2 
0.0023516 22 19  34 0 0 1 2 0 1 1 1 0 0 1 1 2 0 1 0 1 1 0 1 1 2 0 0 2 0 1 2 0 0 0 0 0 0 
2.42563e-06 3 2  34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 
0.00399426 26 20  34 0 2 1 2 0 1 0 1 2 0 1 1 2 0 1 0 1 1 1 1 0 0 0 0 2 2 2 2 0 0 0 0 0 0 
0.00453062 30 17  34 1 0 0 2 2 1 1 1 0 2 1 2 1 1 1 1 1 2 1 0 1 0 1 1 2 1 2 1 0 0 0 0 0 0 
0.0172512 40 15  34 1 0 0 2 2 0 1 2 2 2 2 2 1 2 2 1 2 2 1 1 0 0 0 0 2 2 2 2 2 0 0 2 0 0 
0.000857117 10 14  34 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 1 1 0 0 0 0 1 1 0 0 0 0 0 0 
0.00129673 14 12  34 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 1 1 1 1 0 1 0 0 1 2 0 0 0 0 0 0
